1.8,2.0,2.0,2.0,2.2,2.2,2.2,2.0,1.6,1.6,1.6,1.6,1.6,1.6,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,0.8,0.8,0.8,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.4,0.4
2.4,2.4,2.6,2.6,2.4,2.2,2.2,2.0,1.8,2.0,2.2,2.2,2.2,2.2,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.2,2.2,2.2,2.2,2.0,2.0,2.0,2.0,2.2,2.2,2.0,2.0,2.0,2.0,2.0,2.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
1.0,1.2,1.2,1.4,1.4,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.4,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.8,2.8,2.8,3.0,2.8,3.0,3.2,3.2,3.2,3.0,3.0,3.2,3.4,3.4,3.4,3.4
1.6,1.0,0.8,0.6,1.4,1.6,1.8,1.8,1.8,2.0,2.2,2.4,2.6,2.8,3.0,2.8,2.6,2.4,2.2,2.0,1.8,1.6,1.4,1.2,1.0,0.8,0.6,0.6,0.6,0.8,1.0,0.8,1.0,1.2,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,2.6,2.4,2.2,2.0,1.8,1.6,1.4,1.6,1.8,1.8,1.6
2.8,3.0,3.0,3.2,3.2,3.4,3.6,3.6,3.4,3.4,3.2,3.0,2.8,2.6,2.4,2.4,2.2,2.0,1.8,1.6,1.4,1.2,1.0,0.8,0.6,0.6,0.8,1.0,1.2,1.2,1.4,1.6,2.0,2.0,2.2,2.2,2.4,2.6,2.8,3.0,3.2,3.2,3.0,2.8,2.6,2.4,2.2,2.0,1.8,1.4,1.2,1.0,0.8,0.6
2.8,2.8,3.0,3.2,3.4,3.4,3.2,3.0,2.6,2.4,2.2,2.0,1.8,1.6,1.4,1.2,1.0,0.8,0.6,0.6,0.8,1.0,1.2,1.4,1.6,2.6,2.8,2.6,2.4,2.2,2.0,1.8,1.6,1.4,1.2,1.0,0.8,0.6,0.6,0.8,1.0,1.0,1.2,1.2,1.2,1.0,0.8,0.8,0.6,0.6,0.6,0.8,1.0,1.2
14,32,50
18,36
18,32,51
2.4,2.0,2.0,2.2,0.8,1.4
1.6,2.8,1.0,0.8,3.4,0.6
1.4,0.8,2.6,1.8
0.4,1.6
0.8,1.0
0.8,0.8
0.8,0.6
1.0,0.6
1.2,0.6
1.4,0.6
1.6,0.6
1.8,0.6
2.0,0.6
2.2,0.6
2.4,0.6
2.6,0.6
2.8,0.6
3.0,0.6
3.2,0.6
3.4,0.6
3.4,0.8
3.4,1.0
3.4,1.2
3.2,1.2
2.6,1.8
2.6,2.0
2.6,2.2
2.6,2.4
2.6,2.6
2.6,2.8
2.6,3.0
2.6,3.2
2.2,3.6
2.0,3.6
1.6,3.4
1.4,3.4
0.8,2.8
0.8,2.6
0.8,2.4
0.4,1.8
0.4,1.6
