"CF1 X","CF1 Y","CF3 X","CF3 Y"
0.14746719360351562,-4.43017529296875,0.12675257110595703,-3.856953369140625
0.147416748046875,-4.430173828125,0.12672383880615234,-3.856982666015625
0.14745582580566408,-4.4302197265625,0.12676419830322266,-3.856968505859375
0.14740371704101562,-4.43013525390625,0.12673709869384767,-3.85694189453125
0.14743185424804686,-4.43023828125,0.12676953125,-3.8570283203125
0.14740133666992186,-4.4301904296875,0.12669042205810546,-3.857026123046875
0.14741604614257814,-4.43019140625,0.12671863555908203,-3.8569775390625
0.14738984680175782,-4.43017919921875,0.12674150085449218,-3.856975830078125
0.14743101501464845,-4.43020654296875,0.12675473022460937,-3.856958251953125
0.14742559814453124,-4.43016845703125,0.12674459075927735,-3.857001953125
0.14744490051269532,-4.430181640625,0.12668828582763672,-3.857014404296875
0.1474293212890625,-4.43018896484375,0.12675978088378906,-3.856954833984375
0.14738287353515625,-4.43018017578125,0.12670687866210936,-3.857039794921875
0.14739349365234375,-4.4301669921875,0.12678147888183594,-3.8569765625
0.14743560791015625,-4.430177734375,0.1267451705932617,-3.85696728515625
0.14756912231445313,-4.43018115234375,0.1267990036010742,-3.85699755859375
0.14746200561523437,-4.4302021484375,0.1267617645263672,-3.857021728515625
0.14744093322753907,-4.4302099609375,0.12667323303222655,-3.856986328125
0.14750105285644532,-4.43021826171875,0.12676566314697266,-3.857049072265625
0.1474264678955078,-4.43021875,0.1267332763671875,-3.85703564453125
0.14746820068359376,-4.43017724609375,0.12677469635009767,-3.857004638671875
0.1474132537841797,-4.43015771484375,0.12672114562988282,-3.856953857421875
0.14745999145507813,-4.4302265625,0.12677828216552733,-3.857002197265625
0.1474320526123047,-4.43021728515625,0.1267044677734375,-3.8569853515625
0.14744906616210937,-4.43022314453125,0.12679409790039062,-3.857000244140625
0.14741336059570312,-4.43022412109375,0.1267451171875,-3.857007568359375
0.14744471740722656,-4.430087890625,0.1267831039428711,-3.85700439453125
0.14743899536132812,-4.43019970703125,0.12677096557617187,-3.857025146484375
0.14740687561035157,-4.43020361328125,0.12672234344482422,-3.85705078125
0.14739718627929688,-4.43014306640625,0.1267738952636719,-3.8569921875
0.14759292602539062,-4.4301943359375,0.12676984405517577,-3.857034912109375
