"CF1 X","CF1 Y","CF3 X","CF3 Y"
0.9125211181640625,-3.39486328125,-1.8471884765625,-2.27569775390625
0.9125320434570312,-3.394888916015625,-1.8471590576171875,-2.27569384765625
0.9125677490234375,-3.394860107421875,-1.847191162109375,-2.2756708984375
0.9125606689453125,-3.394861083984375,-1.8471585693359376,-2.275509765625
0.9125744018554688,-3.39485986328125,-1.847153564453125,-2.27569287109375
0.9126141357421875,-3.394918701171875,-1.847170166015625,-2.27570947265625
0.9125568237304688,-3.39486083984375,-1.84717236328125,-2.2756640625
0.91256103515625,-3.394850341796875,-1.84719970703125,-2.275681884765625
0.9125585327148438,-3.39474951171875,-1.8471839599609374,-2.275664794921875
0.9125598754882812,-3.39484326171875,-1.8472025146484374,-2.2756748046875
0.91259619140625,-3.39482470703125,-1.8472178955078125,-2.27548486328125
0.9125613403320313,-3.3948212890625,-1.84718212890625,-2.27567724609375
0.912544189453125,-3.394989990234375,-1.84720751953125,-2.275664306640625
0.912498046875,-3.394895263671875,-1.8471854248046875,-2.275670654296875
0.9125218505859375,-3.394893798828125,-1.8472078857421874,-2.275697998046875
0.912576171875,-3.39491162109375,-1.8471456298828124,-2.275708984375
0.9125260620117187,-3.394825439453125,-1.8471761474609374,-2.2756865234375
0.912545654296875,-3.394998779296875,-1.84723388671875,-2.275662109375
0.9125712280273437,-3.394900634765625,-1.8472449951171874,-2.27568603515625
0.912561767578125,-3.394864990234375,-1.8472303466796876,-2.275689453125
0.9125707397460937,-3.39487255859375,-1.8471845703125,-2.275737548828125
0.9124837036132812,-3.394913330078125,-1.847158935546875,-2.275682373046875
