"CF1 X","CF1 Y","CF2 X","CF2 Y","CF3 X","CF3 Y"
0.9054552001953124,-3.39596435546875,-1.777659912109375,-3.862532958984375,-1.85610986328125,-2.2760927734375
0.905425537109375,-3.395967041015625,-1.7777200927734376,-3.862490478515625,-1.85607958984375,-2.27618505859375
0.9054151611328125,-3.395926513671875,-1.777731201171875,-3.862514404296875,-1.8560877685546875,-2.27609228515625
0.905414306640625,-3.39602197265625,-1.777718994140625,-3.862506591796875,-1.856055419921875,-2.2761083984375
0.9054190673828125,-3.395908203125,-1.777658203125,-3.862553466796875,-1.85608349609375,-2.27608056640625
0.9054620361328125,-3.395876220703125,-1.777694091796875,-3.86253857421875,-1.856093017578125,-2.27608740234375
0.9054441528320313,-3.39586474609375,-1.7777220458984375,-3.86254443359375,-1.8560938720703124,-2.276124267578125
0.9053931274414062,-3.396009765625,-1.7776644287109375,-3.862466796875,-1.8560789794921875,-2.276075927734375
0.9054236450195312,-3.39592822265625,-1.7776800537109374,-3.862615966796875,-1.85609814453125,-2.27606640625
0.9054218139648438,-3.395974609375,-1.7775784912109376,-3.862636962890625,-1.856061767578125,-2.276109375
0.9054791259765625,-3.396014892578125,-1.77769091796875,-3.86256103515625,-1.8560445556640626,-2.276125244140625
0.9054293212890625,-3.395875,-1.7776680908203124,-3.86251953125,-1.8560440673828125,-2.276199951171875
0.9054328002929688,-3.395880126953125,-1.7777171630859374,-3.8624814453125,-1.856073974609375,-2.276041748046875
0.9054053955078125,-3.395899169921875,-1.7776771240234375,-3.8625087890625,-1.856093017578125,-2.276252685546875
0.9053488159179688,-3.396028076171875,-1.777679931640625,-3.862636962890625,-1.856114990234375,-2.276126220703125
0.9054002685546875,-3.3960390625,-1.77766455078125,-3.862505859375,-1.8560662841796876,-2.2762353515625
0.9054833984375,-3.395846923828125,-1.7776925048828125,-3.862496826171875,-1.856126953125,-2.27613916015625
0.9054600219726563,-3.395944580078125,-1.7776719970703125,-3.8624951171875,-1.8560889892578125,-2.27614990234375
0.9054337158203125,-3.395974609375,-1.777631103515625,-3.862546142578125,-1.8561170654296875,-2.27614892578125
0.9054459838867187,-3.39594384765625,-1.777634765625,-3.862484130859375,-1.8560814208984375,-2.276134765625
0.9053650512695313,-3.39603466796875,-1.77772900390625,-3.86255078125,-1.8560887451171875,-2.276146728515625
0.9054154663085937,-3.395894287109375,-1.7777420654296876,-3.86236328125,-1.85605810546875,-2.276113525390625
0.9054777221679687,-3.39585888671875,-1.7777047119140625,-3.86248681640625,-1.8560728759765626,-2.276066650390625
0.905432861328125,-3.395933349609375,-1.7776572265625,-3.86264892578125,-1.85614697265625,-2.276068359375
0.9053829345703125,-3.39603173828125,-1.7776463623046874,-3.8625576171875,-1.8561654052734375,-2.276170654296875
0.9054448852539062,-3.3958583984375,-1.7775938720703126,-3.8625927734375,-1.8561534423828125,-2.276119140625
0.905387939453125,-3.395956298828125,-1.777731689453125,-3.8625078125,-1.856090576171875,-2.276191162109375
0.9054196166992188,-3.395966064453125,-1.77765234375,-3.8626044921875,-1.8561009521484375,-2.2761142578125
0.9053930053710938,-3.3959775390625,-1.7777301025390626,-3.862511474609375,-1.856112060546875,-2.27620068359375
0.905455810546875,-3.3959404296875,-1.7776932373046874,-3.862590087890625,-1.8560888671875,-2.276097412109375
0.905392333984375,-3.396026611328125,-1.777719970703125,-3.86254150390625,-1.8560479736328126,-2.276095458984375
0.90542724609375,-3.395899169921875,-1.7776904296875,-3.8625234375,-1.85603515625,-2.27601904296875
0.905412109375,-3.396036865234375,-1.7776798095703126,-3.86248193359375,-1.856123046875,-2.2761962890625
0.9054386596679688,-3.395949951171875,-1.777600341796875,-3.8626533203125,-1.8561209716796876,-2.27607177734375
0.9054238891601563,-3.395981201171875,-1.77767431640625,-3.862545166015625,-1.8560919189453124,-2.276128173828125
0.9054003295898437,-3.39603662109375,-1.7776595458984374,-3.862518310546875,-1.856124267578125,-2.27612646484375
0.9054127807617187,-3.396034423828125,-1.777672119140625,-3.86248095703125,-1.8560804443359376,-2.276220947265625
0.9054042358398438,-3.39599853515625,-1.777752685546875,-3.86251953125,-1.8560806884765626,-2.27615283203125
0.9053788452148438,-3.3959931640625,-1.777735107421875,-3.862525390625,-1.8560931396484375,-2.276194091796875
0.9054354858398438,-3.395970947265625,-1.7777388916015624,-3.862588134765625,-1.85613525390625,-2.27608984375
0.9054281616210937,-3.396085693359375,-1.7776885986328126,-3.862557861328125,-1.8561048583984374,-2.2760048828125
0.905403076171875,-3.3960400390625,-1.7776778564453124,-3.862505859375,-1.8561416015625,-2.27610888671875
0.9054473266601563,-3.395919921875,-1.7777459716796875,-3.862489013671875,-1.856061279296875,-2.276056640625
0.9054920043945313,-3.39578076171875,-1.7776820068359376,-3.862466064453125,-1.856107666015625,-2.27605615234375
0.905414794921875,-3.395950439453125,-1.77767431640625,-3.862523193359375,-1.8561273193359376,-2.27606103515625
0.9054869384765625,-3.3958583984375,-1.7777275390625,-3.862558837890625,-1.8560877685546875,-2.27605517578125
0.9054365234375,-3.395901123046875,-1.7777470703125,-3.862501953125,-1.856120849609375,-2.2760791015625
0.905439453125,-3.395891357421875,-1.7777166748046875,-3.8624853515625,-1.8560517578125,-2.276074462890625
0.9053977661132813,-3.395998046875,-1.7776390380859375,-3.862540283203125,-1.8561240234375,-2.27602880859375
