"CF1 X","CF1 Y","CF4 X","CF4 Y","CF6 X","CF6 Y"
0.019212879180908204,-0.4967104187011719,0.6991174926757813,0.6481177368164063,-0.7171554565429688,0.6333082885742187
0.019304082870483397,-0.4966380615234375,0.6991033935546875,0.6481405639648438,-0.7169520874023437,0.632888671875
0.019309602737426757,-0.496565185546875,0.6991084594726562,0.6481580810546875,-0.7170377197265625,0.6330960693359375
0.01930816459655762,-0.4965803527832031,0.6991182861328125,0.6481827392578124,-0.7170234375,0.6331300659179687
0.019326820373535156,-0.49651950073242185,0.6991376342773438,0.6481845092773437,-0.71712255859375,0.6333495483398438
0.01932136344909668,-0.49650360107421876,0.6991449584960937,0.6481859741210938,-0.71703076171875,0.633149658203125
0.019298587799072266,-0.4964580078125,0.6991261596679688,0.6481780395507812,-0.7172335815429688,0.6336075439453125
0.019303760528564452,-0.49655889892578126,0.6991320190429687,0.6481476440429688,-0.717241455078125,0.6335955200195312
0.01929176902770996,-0.4966443176269531,0.6990833129882813,0.6481581420898438,-0.7171529541015625,0.633327392578125
0.019282533645629884,-0.49666748046875,0.6990972290039063,0.648118896484375,-0.717084716796875,0.6330958862304688
0.019290628433227538,-0.4967472839355469,0.6991160278320312,0.6480538940429688,-0.716962158203125,0.6328370361328125
0.01928999900817871,-0.49659490966796876,0.6991006469726563,0.6481278686523437,-0.7170601806640625,0.6330950317382813
0.019314075469970705,-0.49659002685546877,0.6991211547851562,0.6480791015625,-0.7169515380859375,0.6328555908203125
0.019304973602294922,-0.4965756225585938,0.699115234375,0.6481290283203125,-0.717053466796875,0.6330907592773437
0.019291612625122072,-0.4966261901855469,0.6991318969726562,0.6481611328125,-0.7170476684570313,0.6331221923828125
0.01931252098083496,-0.49653466796875,0.6991513671875,0.6481708984375,-0.7172406005859375,0.6335840454101562
0.01931178855895996,-0.49645687866210936,0.6991437377929688,0.6481979370117188,-0.7171378784179687,0.6333841552734375
0.019328439712524414,-0.4965133972167969,0.6991401977539062,0.6482211303710937,-0.7172357788085938,0.6336144409179687
0.0193075008392334,-0.49660174560546877,0.6991165771484374,0.6482003784179687,-0.7171407470703125,0.633388427734375
0.0193062744140625,-0.49662078857421876,0.6991209716796875,0.6481625366210938,-0.7171631469726563,0.6333715209960937
0.019292001724243165,-0.496703369140625,0.6991102905273437,0.6480880126953125,-0.7170474853515625,0.6331146240234375
0.019296041488647463,-0.49664453125,0.6991123657226562,0.6480618286132812,-0.7169801635742188,0.6328742065429688
0.019289907455444337,-0.496582275390625,0.699099609375,0.6481090698242188,-0.7169743041992187,0.63285107421875
0.019286407470703124,-0.4965830383300781,0.6991162719726562,0.6480752563476563,-0.7169805297851563,0.6328590698242188
0.019290035247802734,-0.49665365600585937,0.6990950927734375,0.648111572265625,-0.7169624633789062,0.6328526000976562
0.01929725456237793,-0.4966452331542969,0.6991006469726563,0.6481314086914063,-0.7170745239257813,0.6330810546875
0.01931026077270508,-0.4965794982910156,0.69910693359375,0.6481543579101563,-0.7169463500976563,0.6328903198242187
0.01931182861328125,-0.4965951843261719,0.6991432495117188,0.6481746215820312,-0.7172340087890625,0.63357861328125
0.019311540603637694,-0.4965345458984375,0.69915087890625,0.6482141723632813,-0.7171458129882813,0.63337451171875
0.019308645248413085,-0.4965476379394531,0.6991389770507812,0.6481857299804688,-0.7172278442382812,0.6335962524414063
0.019316884994506837,-0.4964765930175781,0.699123291015625,0.6481726684570313,-0.7172296752929688,0.6335931396484376
0.01931219482421875,-0.4966686096191406,0.6991011962890625,0.6481749877929688,-0.7172548217773438,0.63358740234375
0.01929815673828125,-0.4966527404785156,0.6991214599609376,0.6481417846679688,-0.7171571044921875,0.6333471069335938
0.019293352127075194,-0.49672027587890627,0.6990966796875,0.648062744140625,-0.7171027221679688,0.6330936279296875
0.0192822265625,-0.4966670837402344,0.6990571899414062,0.6481171875,-0.7169808349609375,0.6328296508789063
0.019284608840942383,-0.4966597900390625,0.69911376953125,0.6480740966796875,-0.7170672607421875,0.6330914916992187
0.019300247192382814,-0.4965851440429688,0.69912255859375,0.648079833984375,-0.71705859375,0.6330850219726563
0.019301374435424803,-0.49664642333984377,0.6991188354492187,0.6481351318359375,-0.7170499267578125,0.6330786743164063
0.019293453216552733,-0.49662936401367186,0.6991224365234375,0.6481878051757812,-0.7172462768554687,0.6335814208984375
0.01932914161682129,-0.49651211547851565,0.6991417846679687,0.648208251953125,-0.7172227783203124,0.6335994873046875
0.019314428329467774,-0.4965406494140625,0.6991582641601563,0.6482035522460937,-0.7171295166015625,0.6333544921875
0.019317668914794923,-0.4964541320800781,0.6991405639648437,0.6482169799804688,-0.7171455078125,0.6333674926757813
0.01929986572265625,-0.4966121826171875,0.6991113891601562,0.6481844482421875,-0.717149658203125,0.6333609619140625
0.019296838760375978,-0.4966323547363281,0.6991181030273438,0.6481575927734375,-0.7172376708984375,0.63358349609375
0.019285825729370116,-0.4967246704101563,0.699091064453125,0.6481429443359376,-0.7171693115234375,0.633319091796875
0.01929586410522461,-0.4966642150878906,0.6990889892578125,0.6480808715820312,-0.7170732421875,0.63308251953125
0.019281291961669923,-0.49665496826171873,0.6990853271484375,0.6481405639648438,-0.7169786987304687,0.6328601684570313
0.019271923065185548,-0.49667910766601564,0.6991322021484375,0.6480527954101563,-0.7169859619140625,0.63283984375
0.019287630081176756,-0.4966440124511719,0.6991190795898438,0.6480988159179687,-0.7169688110351562,0.6328618774414062
0.01929691696166992,-0.49663265991210936,0.699126953125,0.6481368408203125,-0.7170471801757813,0.633115234375
