"CF1 X","CF1 Y","CF2 X","CF2 Y","CF3 X","CF3 Y","CF7 X","CF7 Y","CF10 X","CF10 Y"
0.5132225952148437,0.5627301635742188,-0.583300048828125,0.5670878295898437,-0.6056810913085937,-0.3750052185058594,0.5444252319335937,-0.3301295471191406,0.043383506774902346,0.06453008270263672
0.5132791137695313,0.5627153930664063,-0.5832737426757812,0.5671126708984375,-0.6056558227539063,-0.3750120544433594,0.5444810180664063,-0.3301015625,0.043445446014404296,0.06454399108886719
0.513291015625,0.5627196044921875,-0.5832305297851562,0.5671436157226563,-0.6056409301757812,-0.3750029602050781,0.5445267944335938,-0.3298664245605469,0.04348345947265625,0.06457227325439453
0.5134279174804688,0.5629568481445313,-0.58320361328125,0.5671380004882812,-0.60564306640625,-0.3749954833984375,0.544540771484375,-0.32984600830078126,0.0435264892578125,0.06455107879638672
0.5134329223632812,0.5629553833007812,-0.5832221069335938,0.5671591186523437,-0.6056567993164063,-0.3749791259765625,0.544526123046875,-0.32985366821289064,0.04352777862548828,0.06458421325683594
0.5134140625,0.562959716796875,-0.5832448120117187,0.5671539306640625,-0.6056549072265625,-0.37498486328125,0.5445205078125,-0.32985540771484373,0.04349542236328125,0.06455997467041015
0.5133739013671875,0.5629618530273437,-0.583287109375,0.5671500244140625,-0.605677490234375,-0.37497232055664065,0.5444826049804687,-0.32985696411132814,0.043458030700683596,0.06456083679199219
0.5133153076171875,0.56293310546875,-0.5833330688476562,0.5671277465820312,-0.605701416015625,-0.3749840698242187,0.5444204711914062,-0.3298804321289063,0.043395790100097656,0.06453527069091797
0.5132976684570313,0.5629381713867188,-0.5833554077148437,0.567099853515625,-0.60553759765625,-0.37502474975585937,0.5444047241210938,-0.32988787841796874,0.04336646270751953,0.06451417541503907
0.5133101196289063,0.5629124755859375,-0.583373291015625,0.5671185302734375,-0.60571533203125,-0.37500360107421876,0.544396240234375,-0.3298936767578125,0.04332629013061524,0.06451222229003906
0.5132806396484375,0.5629247436523438,-0.5833556518554688,0.5670911865234375,-0.60552587890625,-0.37507254028320314,0.544381591796875,-0.32990121459960936,0.04333380889892578,0.06449347686767579
0.5133133544921875,0.5629273681640625,-0.5833272094726563,0.5671162109375,-0.6056820068359375,-0.37502590942382813,0.5444103393554688,-0.32988690185546876,0.04337810897827148,0.06448456573486328
0.5132147216796875,0.5627155151367188,-0.5833023681640624,0.5671036987304687,-0.6056674194335937,-0.375024169921875,0.5444535522460937,-0.33011700439453123,0.04342840957641601,0.06451148223876953
0.5133804931640625,0.5629290771484375,-0.5832544555664062,0.56712158203125,-0.6056693725585938,-0.3750053100585938,0.5445075073242187,-0.3298677062988281,0.04343796157836914,0.06455653381347656
0.5134035034179687,0.5629501342773438,-0.5832451782226562,0.5671338500976563,-0.6056616821289063,-0.37499676513671876,0.5445068359375,-0.330092529296875,0.04349180603027344,0.06456073760986328
0.5134176025390625,0.5629395141601562,-0.5832275390625,0.5671387329101563,-0.6054829711914063,-0.37503680419921875,0.5445422973632813,-0.32985702514648435,0.043515186309814456,0.0645683822631836
0.5134100341796874,0.562953125,-0.58323681640625,0.5671508178710938,-0.6056436157226562,-0.3749817199707031,0.5445305786132812,-0.32985568237304685,0.04350470352172851,0.0645926513671875
0.5133810424804688,0.5629534301757813,-0.583265869140625,0.567157958984375,-0.605681884765625,-0.37499288940429687,0.5444863891601562,-0.3300964965820313,0.043493072509765626,0.06455552673339844
0.5133585205078125,0.5629354858398438,-0.5832958374023437,0.5671343994140625,-0.60568701171875,-0.3749888610839844,0.5444744262695312,-0.3298648681640625,0.04344272994995117,0.06453692626953125
0.5133270263671875,0.5629281005859375,-0.5833189086914062,0.567111572265625,-0.6055402221679688,-0.3750374755859375,0.54442822265625,-0.32987860107421874,0.043397361755371094,0.06452318572998048
0.5133053588867188,0.562935302734375,-0.5833375244140625,0.5671189575195312,-0.6056925048828125,-0.3750107727050781,0.5444058227539063,-0.329884033203125,0.04336648941040039,0.06448856353759766
0.5132792358398437,0.5629154052734375,-0.5833508911132812,0.5671102294921875,-0.6056839599609375,-0.375026123046875,0.5443892211914062,-0.32989321899414065,0.04334084701538086,0.06450981140136719
0.5132091064453125,0.5627118530273437,-0.583326416015625,0.5670994873046875,-0.6055230712890625,-0.37505111694335935,0.544412841796875,-0.329878662109375,0.043371932983398434,0.06450156402587891
0.513225830078125,0.56270751953125,-0.58332666015625,0.5670955200195312,-0.6056766967773437,-0.375020751953125,0.5444472045898437,-0.3298683166503906,0.04337139511108398,0.06452792358398438
0.5132611694335938,0.5627282104492187,-0.5832833251953125,0.5671119384765625,-0.6056602783203126,-0.3750237731933594,0.5444791259765625,-0.3301075439453125,0.04343940353393555,0.06454364013671875
0.513276611328125,0.5627201538085937,-0.5832714233398437,0.5671431884765625,-0.6056634521484375,-0.37499212646484376,0.5444961547851562,-0.329868896484375,0.04344945907592773,0.06456629180908204
0.5134171142578124,0.5629519653320313,-0.5832371215820312,0.5671572265625,-0.6056672973632813,-0.3749847412109375,0.5445154418945313,-0.3300895080566406,0.04349715805053711,0.06455685424804687
0.5134267578125,0.5629495239257812,-0.5832518920898437,0.5671500244140625,-0.6056611938476563,-0.3749764404296875,0.5445297241210938,-0.3298594970703125,0.04348523712158203,0.06456397247314453
0.5133956909179688,0.5629669799804687,-0.5832630615234375,0.5671422119140626,-0.6056644287109375,-0.3749716796875,0.5445046997070313,-0.3298557434082031,0.04349140167236328,0.06454882049560547
